Name,mainCategories,subCategory1,subCategory2,subCategory3,subCategory4
Woman with Bowl Cut,['unnamed characters'],unnamed characters,,,
Paris Hilton,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Kindergartner Girl with Brown Pigtails,"['unnamed characters', 'kindergartners']",unnamed characters,kindergartners,,
Tumon,['uncategorized'],uncategorized,,,
Steve Jobs,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Missy Elliott,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Jimmy Buffett,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Officer Foley,['uncategorized'],uncategorized,,,
Canadian Commander,['uncategorized'],uncategorized,,,
Russell Crowe Editor,['unnamed characters'],unnamed characters,,,
Tony Bennett,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
PC Babies,['uncategorized'],uncategorized,,,
Jack Tenorman,['uncategorized'],uncategorized,,,
Chad's Parents (Fat Camp),['unnamed characters'],unnamed characters,,,
Mutant Turkeys,"['animals', 'monsters']",animals,monsters,,
Scrambles (Cock Magic),['animals'],animals,,,
Charlie (Summer Sucks),['uncategorized'],uncategorized,,,
Betsy (D-Yikes!),['uncategorized'],uncategorized,,,
Sandy Cervix,['fictional celebrities'],fictional celebrities,,,
Chamber of Commerce Representative,['uncategorized'],uncategorized,,,
The Coon (Character),['uncategorized'],uncategorized,,,
Chantal,['uncategorized'],uncategorized,,,
David Weatherhead,['4th graders'],4th graders,,,
Alan the Security Guard,['uncategorized'],uncategorized,,,
6th Grader Girl with Violet Shirt,['unnamed characters'],unnamed characters,,,
Mr. Meryl,['school faculty'],school faculty,,,
Chiquita,['fictional celebrities'],fictional celebrities,,,
Zeus,"['religious figures', 'crossover characters']",religious figures,crossover characters,,
Tad Mikowski,['uncategorized'],uncategorized,,,
Rick Tellmore,['uncategorized'],uncategorized,,,
Japanese Singer,['uncategorized'],uncategorized,,,
Mr. Rodriguez,['uncategorized'],uncategorized,,,
Brian Thompson-Jarvis,['uncategorized'],uncategorized,,,
Rick,['uncategorized'],uncategorized,,,
Dotty Applegate,['uncategorized'],uncategorized,,,
O.J. Simpson,"['celebrities', 'criminal celebrities']",celebrities,criminal celebrities,,
Alex,['uncategorized'],uncategorized,,,
Randy Marsh,['uncategorized'],uncategorized,,,
Mrs. Larsen,['unnamed characters'],unnamed characters,,,
Handicapped Fat Boy with Light Brown Hair,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Joe Gargery,['uncategorized'],uncategorized,,,
Lava and You Boys,['unnamed characters'],unnamed characters,,,
Charlotte's Sister,"['unnamed characters', 'kindergartners']",unnamed characters,kindergartners,,
Janis Joplin,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
DJ AM,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Rosie O'Donnell,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Annie Knitts,['4th graders'],4th graders,,,
Heather (Asspen),['uncategorized'],uncategorized,,,
Boy with Red Shirt and Blue Pants,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Clyde Frog,['uncategorized'],uncategorized,,,
Female Thief,['unnamed characters'],unnamed characters,,,
Peetie the Sexual Harassment Panda,['uncategorized'],uncategorized,,,
Thomas Turner,['uncategorized'],uncategorized,,,
William Janus,['uncategorized'],uncategorized,,,
"Gadnuk, Breaker of Worlds",['animals'],animals,,,
Master P,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Lena Dunham,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Kristen Miller,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Steve (Pip),['uncategorized'],uncategorized,,,
Man with Orange Shirt,['unnamed characters'],unnamed characters,,,
Boy with Huge Glasses (Probably),['unnamed characters'],unnamed characters,,,
Elton John,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Brian Jeffries,['fictional celebrities'],fictional celebrities,,,
William Daniels,['uncategorized'],uncategorized,,,
Darryl Weathers,['uncategorized'],uncategorized,,,
Sally Dion,['kindergartners'],kindergartners,,,
Runaway Girls,['unnamed characters'],unnamed characters,,,
Simon Hankey,['uncategorized'],uncategorized,,,
New York Boy with Blue Cap,['uncategorized'],uncategorized,,,
Cash For Gold Sign Holders,['uncategorized'],uncategorized,,,
Barack Obama,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Judge Moses,['uncategorized'],uncategorized,,,
Allie Nelson,['4th graders'],4th graders,,,
Mr. Hat,['uncategorized'],uncategorized,,,
Joe Strummer,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Ugly Bob,['uncategorized'],uncategorized,,,
Pharaoh of Egypt,"['religious figures', 'unnamed characters']",religious figures,unnamed characters,,
Donald Trump,"['political celebrities', 'television celebrities', 'business celebrities']",political celebrities,television celebrities,business celebrities,
John Dickinson,"['historical celebrities', 'celebrities']",historical celebrities,celebrities,,
Japanese News Reporters,['uncategorized'],uncategorized,,,
Vice President Greg,['animals'],animals,,,
Dr. Doctor,['uncategorized'],uncategorized,,,
Unplanned Parenthood Counselor,['unnamed characters'],unnamed characters,,,
Unnamed Couple (Starvin' Marvin),['unnamed characters'],unnamed characters,,,
Chris Holt,['uncategorized'],uncategorized,,,
Connor,['4th graders'],4th graders,,,
Christine,['uncategorized'],uncategorized,,,
Geraldo Rivera,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Baby Yoda,"['crossover characters', 'aliens']",crossover characters,aliens,,
Vanna White,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Linda Black,['uncategorized'],uncategorized,,,
Bill Donohue,"['religious figures', 'celebrities']",religious figures,celebrities,,
Allen Varcas,['4th graders'],4th graders,,,
Jake (The Stick of Truth),['uncategorized'],uncategorized,,,
Sarah Palin,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Alexandra Cartman,['uncategorized'],uncategorized,,,
Visitors,['aliens'],aliens,,,
Patty Nelson,['4th graders'],4th graders,,,
Nazi Zombie Kittens,['animals'],animals,,,
Mr. Slave,['unnamed characters'],unnamed characters,,,
John F. Kennedy Jr.,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Pete Thelman,['uncategorized'],uncategorized,,,
Bakery Napoleon Bakers,['uncategorized'],uncategorized,,,
Escaped Convict,['uncategorized'],uncategorized,,,
Chase,['uncategorized'],uncategorized,,,
Dane Cook,['celebrities'],celebrities,,,
Michael Landon,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
6th Grader with Brown Hat,['unnamed characters'],unnamed characters,,,
Mrs. Harris,['uncategorized'],uncategorized,,,
Ned Gerblanski,['uncategorized'],uncategorized,,,
Domino,['uncategorized'],uncategorized,,,
Hobby Enthusiast Clerk,['uncategorized'],uncategorized,,,
Recorder Concert Coordinator,['uncategorized'],uncategorized,,,
Lava and You Narrator,['uncategorized'],uncategorized,,,
Lisa Cartman,['uncategorized'],uncategorized,,,
Chris Martin,['uncategorized'],uncategorized,,,
Swimming Instructor,['unnamed characters'],unnamed characters,,,
Carlos,['uncategorized'],uncategorized,,,
Pip Pirrip,['4th graders'],4th graders,,,
Rob Reiner,"['television celebrities', 'celebrities', 'monsters']",television celebrities,celebrities,monsters,
Dr. Neeland,['uncategorized'],uncategorized,,,
Canadian Nurse,['uncategorized'],uncategorized,,,
Snowball,"['religious figures', 'animals']",religious figures,animals,,
Billy Circlovich,['uncategorized'],uncategorized,,,
Chief Running Water,['uncategorized'],uncategorized,,,
Morgan Freeman,['celebrities'],celebrities,,,
Mitch Conner,['uncategorized'],uncategorized,,,
Cheech and Chong,['music celebrities'],music celebrities,,,
Corey Hart,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Minstrel,['uncategorized'],uncategorized,,,
Liane Cartman,['uncategorized'],uncategorized,,,
Stan Marsh,['4th graders'],4th graders,,,
Jeffrey Epstein,['criminal celebrities'],criminal celebrities,,,
Jesse Jackson,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Billy Thompson,['4th graders'],4th graders,,,
Chinese Commentators,['unnamed characters'],unnamed characters,,,
Tom Pusslicker,['uncategorized'],uncategorized,,,
Harrison Yates,['uncategorized'],uncategorized,,,
Kevin Stoley,['4th graders'],4th graders,,,
Melissa Weatherhead,['uncategorized'],uncategorized,,,
Dean Martin,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Mackey's Neighbor,['unnamed characters'],unnamed characters,,,
Weathers,['uncategorized'],uncategorized,,,
Brian Griffin,['crossover characters'],crossover characters,,,
Sef Furman,['4th graders'],4th graders,,,
Canadian Gift Shop Owner,['uncategorized'],uncategorized,,,
Grandma Marsh,['unnamed characters'],unnamed characters,,,
George Zimmerman,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
David Rodriguez,['4th graders'],4th graders,,,
Snarf,"['crossover characters', 'animals', 'monsters']",crossover characters,animals,monsters,
Ted Kennedy,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Jakartha,['uncategorized'],uncategorized,,,
Jake Angeli,['political celebrities'],political celebrities,,,
Kevin McCormick,['uncategorized'],uncategorized,,,
Barbra Streisand,"['music celebrities', 'celebrities', 'monsters']",music celebrities,celebrities,monsters,
Mrs. Vladchik,['uncategorized'],uncategorized,,,
Girl with Brown Coat,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Jenny Harrison,['uncategorized'],uncategorized,,,
Marty Jonus,['uncategorized'],uncategorized,,,
David Duchovny,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Scott and Tyler,['uncategorized'],uncategorized,,,
The Back Dorm Boys,"['internet celebrities', 'celebrities']",internet celebrities,celebrities,,
Thompson,['uncategorized'],uncategorized,,,
Canadian Barking Spider,"['animals', 'monsters']",animals,monsters,,
Ranger Pete,['uncategorized'],uncategorized,,,
Al Gore,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Johnny Manymoons,['uncategorized'],uncategorized,,,
Mr. Homeless Guy,['uncategorized'],uncategorized,,,
Linda Stotch,['uncategorized'],uncategorized,,,
Miss Claridge,['unnamed characters'],unnamed characters,,,
Joozians,['aliens'],aliens,,,
Dave Harrison,['kindergartners'],kindergartners,,,
Ted Bundy,"['celebrities', 'criminal celebrities']",celebrities,criminal celebrities,,
Sparrow Prince,['animals'],animals,,,
Bradley Biggle,"['4th graders', 'aliens']",4th graders,aliens,,
Talking Cat,"['internet celebrities', 'celebrities', 'animals']",internet celebrities,celebrities,animals,
Mr. Garrett,['school faculty'],school faculty,,,
Bill Yellow Hawk,['uncategorized'],uncategorized,,,
Michael Jackson Hologram,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Teenager Girl with Striped Shirt,['unnamed characters'],unnamed characters,,,
Arnold Schwarzenegger,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Boy with C Cap,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Tom Johannsen,['uncategorized'],uncategorized,,,
Streibel Daughters,['unnamed characters'],unnamed characters,,,
Jenny's Parents,['unnamed characters'],unnamed characters,,,
Michael Richards,['celebrities'],celebrities,,,
David Quincy,['uncategorized'],uncategorized,,,
Nancy Turner,['uncategorized'],uncategorized,,,
Minister of Montreal,['unnamed characters'],unnamed characters,,,
Pastor Phillips,['uncategorized'],uncategorized,,,
Unnamed Black Vampire,['unnamed characters'],unnamed characters,,,
Kim Jong-il,"['political celebrities', 'celebrities', 'criminal celebrities']",political celebrities,celebrities,criminal celebrities,
Eduardo Hernandez,['uncategorized'],uncategorized,,,
Denver Sea Park Security Guard,['uncategorized'],uncategorized,,,
Rick and Susan Tyler,['uncategorized'],uncategorized,,,
Nurse Fran,['uncategorized'],uncategorized,,,
Richard Tweak,['uncategorized'],uncategorized,,,
Vosky,['uncategorized'],uncategorized,,,
K-10,['uncategorized'],uncategorized,,,
Christophe,['4th graders'],4th graders,,,
Nathan's Parents,['unnamed characters'],unnamed characters,,,
DOI Agents,['uncategorized'],uncategorized,,,
Jesus and Pals Producer,['unnamed characters'],unnamed characters,,,
Unnamed Black-Haired Boy,['unnamed characters'],unnamed characters,,,
Vladimir,['uncategorized'],uncategorized,,,
Flora Larsen,['kindergartners'],kindergartners,,,
Halfy,['uncategorized'],uncategorized,,,
Mark Cotner,['uncategorized'],uncategorized,,,
Mental Asylum Warden,['uncategorized'],uncategorized,,,
Douglas,['4th graders'],4th graders,,,
The Evil Boys,['4th graders'],4th graders,,,
Romanian Guards,['uncategorized'],uncategorized,,,
Franz,['uncategorized'],uncategorized,,,
Mr. Testaburger,['uncategorized'],uncategorized,,,
Whoopi Goldberg,['celebrities'],celebrities,,,
Ferrari,['raisins employees'],raisins employees,,,
Mark the Security Guard,['uncategorized'],uncategorized,,,
Nick Nolte,['celebrities'],celebrities,,,
Herbert Garrison,"['fictional celebrities', 'school faculty']",fictional celebrities,school faculty,,
Ted Koppel,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Jon Cryer,['celebrities'],celebrities,,,
Clyde's Sister,['unnamed characters'],unnamed characters,,,
Ugly Girl (Probably),['unnamed characters'],unnamed characters,,,
Sidney Poitier,"['political celebrities', 'celebrities', 'monsters']",political celebrities,celebrities,monsters,
Mimsy,['uncategorized'],uncategorized,,,
Fred Cartman,['uncategorized'],uncategorized,,,
Retarded Fish,['animals'],animals,,,
PC Ohio State,['unnamed characters'],unnamed characters,,,
Christophe's Mother,['unnamed characters'],unnamed characters,,,
Adam Borque,['4th graders'],4th graders,,,
Barbara Garthunk,['uncategorized'],uncategorized,,,
Gene Hackman,['celebrities'],celebrities,,,
Dennis,['uncategorized'],uncategorized,,,
Kal,['4th graders'],4th graders,,,
Elvis Presley Hologram,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Satan,['religious figures'],religious figures,,,
Autumn Hankey,['uncategorized'],uncategorized,,,
Stephen Hopkins,"['political celebrities', 'historical celebrities', 'celebrities']",political celebrities,historical celebrities,celebrities,
Chief Runs With Premise,['uncategorized'],uncategorized,,,
6th Grader with Cyan Hat,['unnamed characters'],unnamed characters,,,
Loogie,['4th graders'],4th graders,,,
Wild Dogs,['animals'],animals,,,
Wing Han Tsang,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Lance Armstrong,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Annie Bartlett,['uncategorized'],uncategorized,,,
Stupid Spoiled Whore Teenage Girls,['uncategorized'],uncategorized,,,
Malcolm McDowell,['celebrities'],celebrities,,,
Doctor Vosknocker,['uncategorized'],uncategorized,,,
Canadian Minister of Movies,['unnamed characters'],unnamed characters,,,
Carol McCormick,['uncategorized'],uncategorized,,,
Handicapped Girl with Brown Hair,['4th graders'],4th graders,,,
Mick,['uncategorized'],uncategorized,,,
Vanessa,['uncategorized'],uncategorized,,,
Giada De Laurentiis,['celebrities'],celebrities,,,
Veronica,['uncategorized'],uncategorized,,,
Martha and Stephen Thompson,['uncategorized'],uncategorized,,,
Thad (Insecurity),['uncategorized'],uncategorized,,,
Chris Hansen,['television celebrities'],television celebrities,,,
Boy with Olive Shirt and Black Pants,['uncategorized'],uncategorized,,,
Muhammad,['religious figures'],religious figures,,,
Elaine,['uncategorized'],uncategorized,,,
Buzz Lightyear,['crossover characters'],crossover characters,,,
Vaping Man,['uncategorized'],uncategorized,,,
Zarganor,"['unnamed characters', 'aliens']",unnamed characters,aliens,,
6th Graders Bruisers,['unnamed characters'],unnamed characters,,,
Dr. Pinkerton,['uncategorized'],uncategorized,,,
Baahir Hassan Abdul Hakeem,['4th graders'],4th graders,,,
Park County Courthouse Judge,['unnamed characters'],unnamed characters,,,
The Foley Kids,['unnamed characters'],unnamed characters,,,
"President's Council on Fitness, Sports & Nutrition Representative",['uncategorized'],uncategorized,,,
Saddam Hussein,"['political celebrities', 'criminal celebrities']",political celebrities,criminal celebrities,,
Ozzy Osbourne,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Ike Broflovski,['kindergartners'],kindergartners,,,
6th Grader with Yellow Shirt and Brown Pants,['unnamed characters'],unnamed characters,,,
Morgan Pratt,['4th graders'],4th graders,,,
Snow White,['crossover characters'],crossover characters,,,
Sally Struthers,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Premise Running Thin,['uncategorized'],uncategorized,,,
Profile Stan Marsh,['monsters'],monsters,,,
Firkle,['kindergartners'],kindergartners,,,
Aslan the Lion,"['crossover characters', 'animals']",crossover characters,animals,,
Mrs. Campbell,['uncategorized'],uncategorized,,,
Madelyn Dunham,['uncategorized'],uncategorized,,,
Dr. Schwartz,['uncategorized'],uncategorized,,,
Elsa,['crossover characters'],crossover characters,,,
Wario,['crossover characters'],crossover characters,,,
Indiana Jones,['crossover characters'],crossover characters,,,
Paris Hilton's Chauffeur,['uncategorized'],uncategorized,,,
SuperSexyLisa18,"['internet trolls', 'unnamed characters']",internet trolls,unnamed characters,,
COPS TV Film Crew,['uncategorized'],uncategorized,,,
Girl with Ear Infection,['uncategorized'],uncategorized,,,
Emmett Hollis,['uncategorized'],uncategorized,,,
Homeless Merchant,['uncategorized'],uncategorized,,,
Dom DeLuise,['celebrities'],celebrities,,,
Wikileaks,['animals'],animals,,,
Steve,['school faculty'],school faculty,,,
Leonard Maltin,['celebrities'],celebrities,,,
Maury,['raisins employees'],raisins employees,,,
South Park Inn Waiter,['uncategorized'],uncategorized,,,
Gerald Ford,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Mr. Zewiski,['uncategorized'],uncategorized,,,
Selena Gomez,"['television celebrities', 'music celebrities', 'celebrities']",television celebrities,music celebrities,celebrities,
Dairy Gold Milk Company President,['uncategorized'],uncategorized,,,
Mr. Allen,['unnamed characters'],unnamed characters,,,
Rachel,['uncategorized'],uncategorized,,,
Junichi Takiyama,['uncategorized'],uncategorized,,,
Richard Adler,['school faculty'],school faculty,,,
24-Hour Clerks,['uncategorized'],uncategorized,,,
Newt Gingrich,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Rex,['animals'],animals,,,
Geoff Hamill,['uncategorized'],uncategorized,,,
Dr. Mehmet Oz,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
6th Grader Leader,['unnamed characters'],unnamed characters,,,
Future Butters,['unnamed characters'],unnamed characters,,,
Girl with Blonde Hair,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Mercedes,"['4th graders', 'raisins employees']",4th graders,raisins employees,,
Jo Frost,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Old Farmer,['unnamed characters'],unnamed characters,,,
Jimmie Walker,['celebrities'],celebrities,,,
Officer Johnson,['uncategorized'],uncategorized,,,
Joseph Smith,"['religious figures', 'celebrities', 'historical celebrities']",religious figures,celebrities,historical celebrities,
Haps Bar Bartender,['uncategorized'],uncategorized,,,
Will Smith,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Tuong Lu Kim,['uncategorized'],uncategorized,,,
Nellie Stotch,['uncategorized'],uncategorized,,,
Josh (Margaritaville),['uncategorized'],uncategorized,,,
6th Grader with Green Shirt,['unnamed characters'],unnamed characters,,,
Some Puerto Rican Guy,['uncategorized'],uncategorized,,,
Elon Musk,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Kevin Harris,['uncategorized'],uncategorized,,,
Nurse Jillian,['uncategorized'],uncategorized,,,
Mrs. Harrison,['uncategorized'],uncategorized,,,
Jafar,['crossover characters'],crossover characters,,,
IRS Agents,['uncategorized'],uncategorized,,,
Matti Vanhanen,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Big Mesquite Murph,['uncategorized'],uncategorized,,,
Cher,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Todd,['uncategorized'],uncategorized,,,
Daniel Tanner,['4th graders'],4th graders,,,
Harrison Moore,['uncategorized'],uncategorized,,,
Handicapped Boy with Blue Jumpsuit,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Enchorito Mark,['uncategorized'],uncategorized,,,
Internet Scientists,['uncategorized'],uncategorized,,,
Eric Roberts,['celebrities'],celebrities,,,
Kevin (Best Friends Forever),['uncategorized'],uncategorized,,,
Mr. Yelman,['uncategorized'],uncategorized,,,
Michael Jackson Fan,['unnamed characters'],unnamed characters,,,
Village Liquor Owner,['uncategorized'],uncategorized,,,
Handicapped Boy with Brown Hair,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Apple Replacement Friend,['uncategorized'],uncategorized,,,
Queer Eye for the Straight Guy,"['television celebrities', 'celebrities', 'aliens']",television celebrities,celebrities,aliens,
Mel Gibson,['uncategorized'],uncategorized,,,
Sir John Harington,['historical celebrities'],historical celebrities,,,
Frank Fun,['uncategorized'],uncategorized,,,
Shoe Saver Salesman,['unnamed characters'],unnamed characters,,,
6th Grader with Black Hair and Blue Shirt,['unnamed characters'],unnamed characters,,,
PC Principal,['school faculty'],school faculty,,,
Harriet Biggle,['uncategorized'],uncategorized,,,
Tinkerbell,['animals'],animals,,,
Beth,['4th graders'],4th graders,,,
Christian Wulff,['political celebrities'],political celebrities,,,
Casey Miller,['uncategorized'],uncategorized,,,
Mr. and Mrs. Brown,['uncategorized'],uncategorized,,,
Boy with Orange Shirt,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Costa Rican President,['unnamed characters'],unnamed characters,,,
Terrance and Phillip,"['fictional celebrities', 'groups']",fictional celebrities,groups,,
Woman with Pink Dress (Fourth Grade),['unnamed characters'],unnamed characters,,,
Wizard Alien,['uncategorized'],uncategorized,,,
DJ Hippo,['uncategorized'],uncategorized,,,
Jake Jabs,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Laura,['uncategorized'],uncategorized,,,
Mr. Cotswolds,['uncategorized'],uncategorized,,,
Keenan Williams,['uncategorized'],uncategorized,,,
Frog King,['animals'],animals,,,
Skyler Morse,['uncategorized'],uncategorized,,,
Cee Lo Green,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Laura Bush,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Thief with Brown Hair,['unnamed characters'],unnamed characters,,,
Wendy Williams,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Janet Reno,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Jessica Rodriguez,['4th graders'],4th graders,,,
Vegan Boy,"['unnamed characters', 'kindergartners']",unnamed characters,kindergartners,,
Skeeter,['uncategorized'],uncategorized,,,
Clark Malkinson,['uncategorized'],uncategorized,,,
Mailman,['unnamed characters'],unnamed characters,,,
Travis Mayfield,['animals'],animals,,,
Karen McCormick,['uncategorized'],uncategorized,,,
Howard Stern,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Mrs. Trumski,['unnamed characters'],unnamed characters,,,
Allen Ginsberg,['celebrities'],celebrities,,,
Devitzen's Tolerance Camp Warden,['unnamed characters'],unnamed characters,,,
Chris,['uncategorized'],uncategorized,,,
Bill Cosby (BSM-471),['uncategorized'],uncategorized,,,
Margaret Nelson,['uncategorized'],uncategorized,,,
Bruce,['uncategorized'],uncategorized,,,
James Taylor,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Charlie Manson,['criminal celebrities'],criminal celebrities,,,
Joe and Teresa Giudice,"['television celebrities', 'criminal celebrities']",television celebrities,criminal celebrities,,
Female QAnon Tutor,['uncategorized'],uncategorized,,,
Tammy Warner,['uncategorized'],uncategorized,,,
Token Black,['4th graders'],4th graders,,,
The FAGS Boys,['unnamed characters'],unnamed characters,,,
Nose-Picker Girl,['unnamed characters'],unnamed characters,,,
Jakovasaur,"['animals', 'monsters']",animals,monsters,,
Joline,['uncategorized'],uncategorized,,,
Tardicaca Shark,['animals'],animals,,,
Afro Ninja,"['internet celebrities', 'celebrities']",internet celebrities,celebrities,,
Kyle Broflovski,['4th graders'],4th graders,,,
Al-Qaeda,['uncategorized'],uncategorized,,,
Laura Tucker,['uncategorized'],uncategorized,,,
Nurse with Red Hair,['unnamed characters'],unnamed characters,,,
General Deckter,['uncategorized'],uncategorized,,,
Yoko Ono,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Denver Archbishop,['religious figures'],religious figures,,,
Boy with Earmuffs,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Bradley (Cartman Sucks),['uncategorized'],uncategorized,,,
Heidi Turner,['4th graders'],4th graders,,,
Walgreens Bouncer,['unnamed characters'],unnamed characters,,,
Detroit Red Wings,['uncategorized'],uncategorized,,,
Emir Hadi,['uncategorized'],uncategorized,,,
Vanity,['uncategorized'],uncategorized,,,
Kelly Rutherford-Menskin,['4th graders'],4th graders,,,
Larry King,['television celebrities'],television celebrities,,,
Mr. Donaldson,['school faculty'],school faculty,,,
Christina Aguilera,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Murrey Broflovski,['uncategorized'],uncategorized,,,
Kip Drordy,['uncategorized'],uncategorized,,,
Two Astronauts,['unnamed characters'],unnamed characters,,,
Stupid Spoiled Whore Store Owner,['unnamed characters'],unnamed characters,,,
Raila Odinga,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Dean Howland,['uncategorized'],uncategorized,,,
Tom Foley,['uncategorized'],uncategorized,,,
Millie Larsen,['4th graders'],4th graders,,,
Vin Diesel,['celebrities'],celebrities,,,
Jesse,['uncategorized'],uncategorized,,,
Darwin,['uncategorized'],uncategorized,,,
Colonel Sanders,"['celebrities', 'business celebrities']",celebrities,business celebrities,,
Lieutenant Dawson,['uncategorized'],uncategorized,,,
George Burns,['celebrities'],celebrities,,,
Cesar Millan,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Jasper,['monsters'],monsters,,,
Sue Preston,['uncategorized'],uncategorized,,,
Boy in Finn Costume,"['crossover characters', 'unnamed characters']",crossover characters,unnamed characters,,
God,['religious figures'],religious figures,,,
Mr. Derp,"['school faculty', 'unnamed characters']",school faculty,unnamed characters,,
Tall Girl with Black Hair,['unnamed characters'],unnamed characters,,,
Thomas,['4th graders'],4th graders,,,
Canadian Gynecologist,['uncategorized'],uncategorized,,,
Tyler Perry,['celebrities'],celebrities,,,
Peter,['4th graders'],4th graders,,,
Chief Runs With Premise's Wife,['unnamed characters'],unnamed characters,,,
Glen,['uncategorized'],uncategorized,,,
Smitty,['uncategorized'],uncategorized,,,
Garth,['uncategorized'],uncategorized,,,
Pioneer Paul,['uncategorized'],uncategorized,,,
Lisa Berger,['4th graders'],4th graders,,,
Ryan (Cartman Sucks),['uncategorized'],uncategorized,,,
Jerry Garcia,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Bubb Rubb,"['internet celebrities', 'celebrities']",internet celebrities,celebrities,,
Tommy (Faith Hilling),['uncategorized'],uncategorized,,,
Lil' Sheep,['uncategorized'],uncategorized,,,
Francis,['4th graders'],4th graders,,,
Helen,['uncategorized'],uncategorized,,,
Boris Johnson,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Tay Zonday,"['internet celebrities', 'music celebrities']",internet celebrities,music celebrities,,
Bat,['animals'],animals,,,
Danica Patrick,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
McNuggets,['animals'],animals,,,
Fenton Hardly,['uncategorized'],uncategorized,,,
Pedophile Priests,['religious figures'],religious figures,,,
Chris Crocker,"['internet celebrities', 'celebrities']",internet celebrities,celebrities,,
Boy with Green Shirt,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Chinese Shopkeeper,['unnamed characters'],unnamed characters,,,
Meagan Ridley,['4th graders'],4th graders,,,
Dr. Wayne Schroeder,['uncategorized'],uncategorized,,,
Mr. Dog,['animals'],animals,,,
Cthulhu,"['crossover characters', 'aliens']",crossover characters,aliens,,
David Letterman,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Romper Stomper,['uncategorized'],uncategorized,,,
White Trash In Trouble Narrator,['uncategorized'],uncategorized,,,
Dr. Phillips,['uncategorized'],uncategorized,,,
Billy (Sons A Witches),['uncategorized'],uncategorized,,,
Charlotte's Grandmother,['unnamed characters'],unnamed characters,,,
