,Title,Air Date,Code,#,Descriptions,Cast,Season
51,Quintuplets 2000,"April 26, 2000",403,52,8-year-old contorting quintuplets from Romania defect to the United States and seek shelter with Stan's family.,"['Mrs. Vladchik', 'Stuart McCormick', 'Sheila Broflovski', 'Quintuplets', 'Janet Reno', 'Carol McCormick', 'Marvin Marsh', 'Sharon Marsh', 'Gerald Broflovski', 'Kenny McCormick', 'Romanian Guards', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Romanian Father', 'Stan Marsh']",4
52,Cartman Joins NAMBLA,"June 21, 2000",406,53,"Cartman decides to seek friendship using the Internet, and finds an older man who is more than willing to be his friend...and more.","['Carol McCormick', 'Timmy Burch', 'Stuart McCormick', 'Butters Stotch', 'Herbert Garrison', 'Dr. Alphonse Mephesto', 'Token Black', 'Kenny McCormick', 'Dr. Doctor', 'Kyle Broflovski', 'Eric Cartman', 'South Park Inn Waiter', 'Mr. Wyland', 'Officer Barbrady', 'Stan Marsh']",4
53,Cherokee Hair Tampons,"June 28, 2000",407,54,Kyle needs a kidney transplant and Cartman is discovered to be the perfect donor. Cartman gladly offers his kidney to Kyle -- for the price of $10 million dollars.,"['Timmy Burch', 'Butters Stotch', 'Laura Tucker', 'Principal Victoria', 'Dr. Doctor', 'Mr. Wyland', 'Stan Marsh', 'Herbert Garrison', 'Mrs. Tweak', 'Cheech and Chong', 'Kyle Broflovski', 'Eric Cartman', 'Miss Information', 'Kenny McCormick', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski', 'Wendy Testaburger']",4
54,Chef Goes Nanners,"July 5, 2000",408,55,Chef's passionate protest declaring the South Park flag racist enflames the entire town.,"['Butters Stotch', 'Craig Tucker', 'Mr. Hat', 'Mr. Wyland', 'Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Bebe Stevens', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Kenny McCormick', 'Ned Gerblanski', 'Jimbo Kern', 'Officer Barbrady', 'Gerald Broflovski', 'Sheila Broflovski', 'Wendy Testaburger']",4
55,Something You Can Do with Your Finger,"July 12, 2000",409,56,"""Fingerbang"" is the newest boy band starring all the boys and it's also Cartman's latest scheme to make a million dollars.","['Timmy Burch', 'Mall Manager', 'Mr. Mackey', 'Butters Stotch', 'Shelly Marsh', 'Security Guard', 'Sharon Marsh', 'Liane Cartman', 'Rookie Security Guard', 'Mall Madman', 'Kenny McCormick', 'Bebe Stevens', 'Randy Marsh', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Wendy Testaburger', 'Stan Marsh']",4
56,Do the Handicapped Go to Hell?,"July 19, 2000",410,57,"The boys learn in Sunday school that they must confess their sins, but worry about Timmy since all he can say is his own name.","['Timmy Burch', 'Butters Stotch', 'Betsy Donovan', 'Stan Marsh', 'Satan', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Pope John Paul II', 'Kenny McCormick', 'Heidi Turner', 'Sharon Marsh', 'Chris', 'Gerald Broflovski', 'Saddam Hussein', 'Father Maxi', 'Sheila Broflovski', 'Sister Anne']",4
57,Probably,"July 26, 2000",411,58,"Cartman's flock begins to grow and the children begin plans to build him a Church. Meanwhile, Satan turns to God for advice.","['Timmy Burch', 'Butters Stotch', 'Principal Victoria', 'Stan Marsh', 'Satan', 'Jesus Christ', 'Henry Winkler', 'Bebe Stevens', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Nancy Turner', 'Kenny McCormick', 'God', 'Heidi Turner', 'Sharon Marsh', 'Liane Cartman', 'Chris', 'Gerald Broflovski', 'Saddam Hussein', 'Sheila Broflovski', 'Sister Anne']",4
58,Fourth Grade,"November 8, 2000",412,59,"The boys devise a plan to travel back in time a full year and return to the third grade, with the help of Timmy and his electronic wheelchair.","['Timmy Burch', 'Clyde Donovan', 'Mr. Mackey', 'Butters Stotch', 'Herbert Garrison', 'Diane Choksondik', 'Hansen', 'Pete Thelman', 'Kenny McCormick', 'Principal Victoria', 'Wendy Testaburger', 'Kyle Broflovski', 'Eric Cartman', 'Tweek Tweak', 'Stan Marsh']",4
59,Trapper Keeper,"November 15, 2000",413,60,"When Cartman finally stops bragging about his new Trapper Keeper, a stranger informs him that it will eventually take over the world and destroy humankind, if they don't destroy it first.","['Jesse Jackson', 'Quaid', 'Filmore Anderson', 'Flora Larsen', 'Stan Marsh', 'Herbert Garrison', 'Ike Broflovski', 'Kyle Broflovski', 'Jenny (Kindergartner)', 'Eric Cartman', 'Bill Cosby (BSM-471)', 'Sally Bands', 'Kenny McCormick', 'Kindergartners', 'Billy Harris', 'Officer Barbrady', 'Alan the Security Guard', 'Liane Cartman', 'Veronica Crabtree', 'Mark the Security Guard']",4
60,Helen Keller! The Musical,"November 22, 2000",414,61,"When Butters informs the fourth graders that the Kindergarteners' school play is a magnificent sight to behold, they go through a lot of pain to make sure they beat the tiny tots' show.","['Timmy Burch', 'Butters Stotch', 'Principal Victoria', 'Stan Marsh', 'Herbert Garrison', 'Bebe Stevens', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Gobbles', 'Alinicia', 'Clyde Donovan', 'Mr. Mackey', 'Jeffrey Maynard', 'Kenny McCormick', 'Lamond', 'Ned Gerblanski', 'Jimbo Kern', 'Token Black', 'Heidi Turner', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski', 'Wendy Testaburger']",4
61,Pip,"November 29, 2000",405,62,When Pip is offered the opportunity to become a gentleman he goes to London only to discover that Miss Havisham plans to break his heart.,"['Miss Havisham', 'Malcolm McDowell', 'Mrs. Joe Gargery', 'Pip Pirrip', 'Joe Gargery', 'Escaped Convict', 'Kenny McCormick', 'Estella Havisham', 'Eric Cartman']",4
62,Fat Camp,"December 6, 2000",415,63,"Cartman's family and friends have intervened and are forcing him to trim down. While Cartman's away, Kenny's star is on the rise when he gets his own reality TV show.","['Butters Stotch', 'Cartman Impostor', 'Principal Victoria', 'Dr. Doctor', 'Tom Green', 'Stan Marsh', 'Herbert Garrison', 'Jesus Christ', 'Horace Sanders', 'Bebe Stevens', 'Tony', 'Kyle Broflovski', 'Eric Cartman', 'Alice', 'Clyde Donovan', 'Mr. Mackey', 'James Taylor', 'Kenny McCormick', 'Johnny Knoxville', 'Howard Stern', 'Token Black', 'Chad', 'Liane Cartman', 'Wendy Testaburger']",4
63,The Wacky Molestation Adventure,"December 13, 2000",416,64,"To get back at his parents for not letting him go to a concert, Kyle tells the police that his parents molested him. Soon, the whole town is free of adults and divided into two rival cities.","['Butters Stotch', 'Linda Cotner', 'Craig Tucker', 'Filmore Anderson', 'Francis', 'Stan Marsh', 'John Elway', 'Stephen Stotch', 'Carol McCormick', 'Scott Evans', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Kenny McCormick', 'Fidel Castro', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski', 'Mark Cotner']",4
64,A Very Crappy Christmas,"December 20, 2000",417,65,"When Mr. Hankey skips Christmas, the boys find him living with his alcoholic wife and their three little nuggets. He tells them that no one is into Christmas anymore.","['Red Harris', 'Butters Stotch', 'Charlie Brown', 'Marvin Marsh', 'Mr. Hankey', 'Simon Hankey', 'Cornwallis Hankey', 'Stan Marsh', 'Diane Choksondik', 'Mayor McDaniels', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Randy Marsh', 'Mr. Mackey', 'Kenny McCormick', 'Autumn Hankey', 'Sharon Marsh', 'Amber Hankey', 'Gerald Broflovski', 'Sheila Broflovski']",4
65,It Hits the Fan,"June 20, 2001",502,66,"The boys and Chef must stop the world from chanting the curse word ""shit"" because when spoken it causes people to ""puke their own guts out"".","['Timmy Burch', 'Butters Stotch', 'Principal Victoria', 'Filmore Anderson', 'Drew Carey', 'Stan Marsh', 'Herbert Garrison', 'Diane Choksondik', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Kenny McCormick', 'Rick Watts', 'Officer Barbrady', 'Excalibur Sorcerer', 'Tom Pusslicker', 'Sharon Marsh', 'Excalibur Barker', 'Gerald Broflovski', 'Geldon', 'Sheila Broflovski']",5
66,Cripple Fight,"June 27, 2001",503,67,"Big Gay Al becomes the boys' scoutmaster and a fight ensues between two handicapped children, Jimmy Swanson and Timmy.","['Timmy Burch', 'Butters Stotch', 'Big Gay Al', 'Stan Marsh', 'Randy Marsh', 'Eric Cartman', 'Steve Black', 'Jimmy Valmer', 'Stuart McCormick', 'Kenny McCormick', 'Rick Watts', 'Jimbo Kern', 'Tom Pusslicker', 'Token Black', 'Mr. Grazier', 'Steven Spielberg', 'Sharon Marsh', 'Skeeter', 'Father Maxi', 'Sheila Broflovski', 'Gloria Allred']",5
67,Super Best Friends,"July 4, 2001",504,68,"A cult comes to South Park and it is up to Stan, Jesus and his super hero comrades to save the world.","['Moses', 'Butters Stotch', 'Buddha', 'David Blaine', 'John Wilkes Booth', 'Stan Marsh', 'Carol McCormick', 'Jesus Christ', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Krishna', 'Muhammad', 'Seaman', 'Kenny McCormick', 'Joseph Smith', 'Abraham Lincoln', 'Lao Tse', 'George W. Bush', 'Sheila Broflovski']",5
68,Scott Tenorman Must Die,"July 11, 2001",501,69,Cartman repeatedly tries to take revenge on an 8th/9th grader who keeps making fun of him.,"['Jack Tenorman', 'Timmy Burch', 'Clyde Donovan', 'Scott Tenorman', 'Rick', 'Butters Stotch', 'Kurt Loder', 'Mrs. Tenorman', 'Kenny McCormick', 'Farmer Carl Denkins', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Stan Marsh']",5
69,Terrance and Phillip: Behind the Blow,"July 18, 2001",505,70,The boys try to reunite Terrance and Phillip who are feuding so they can perform at an Earth Day assembly.,"['Clyde Donovan', 'Mr. Mackey', 'Butters Stotch', 'Herbert Garrison', 'Diane Choksondik', 'Kenny McCormick', 'Kyle Broflovski', 'Eric Cartman', 'Cher', 'Stan Marsh']",5
70,Cartmanland,"July 25, 2001",506,71,"Kyle develops a deadly hemorrhoid and begins to lose his faith in God when Cartman inherits $1 million from his grandmother, which he uses to buy his own amusement park.","['Timmy Burch', 'Butters Stotch', 'Frank Fun', 'IRS Agents', 'Stan Marsh', 'Herbert Garrison', 'Uncle Stinky', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Security Guard', 'Money Quest Hosts', 'Kenny McCormick', 'Ned Gerblanski', 'Jimbo Kern', 'Rick', 'Liane Cartman', 'Mabel Cartman', 'Gerald Broflovski', 'Father Maxi', 'Sheila Broflovski']",5
71,Proper Condom Use,"August 1, 2001",507,72,"The school is forced to teach sex education to the students at a younger age after the boys are found ""milking"" dogs.","['Timmy Burch', 'Butters Stotch', 'Principal Victoria', 'Wendy Testaburger', 'Filmore Anderson', 'Sparky', 'Flora Larsen', 'Stan Marsh', 'Herbert Garrison', 'Diane Choksondik', 'Richard Adler', 'Bebe Stevens', 'Randy Marsh', 'Jenny (Kindergartner)', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Mr. Mackey', 'Kenny McCormick', 'Sharon Marsh', 'Gerald Broflovski', 'Sheila Broflovski', 'Richard Tweak', 'Tweek Tweak']",5
72,Towelie,"August 8, 2001",508,73,"In order to get their video game console back, the boys must bring a talking towel to the government.","['Herbert Garrison', 'Sharon Marsh', 'GS-401', 'Kenny McCormick', 'Zytar', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",5
73,Osama bin Laden Has Farty Pants,"November 7, 2001",509,74,The boys go to Afghanistan to return a goat given as a gift.,"['Richard Tweak', 'Butters Stotch', 'Osama bin Laden', 'Sharon Marsh', 'Federal Bureau of Investigation', 'Kenny McCormick', 'Wendy Testaburger', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Officer Barbrady', 'Tweek Tweak', 'Stan Marsh']",5
74,How to Eat with Your Butt,"November 14, 2001",510,75,Cartman puts Kenny's picture on a milk carton which brings a family from another state looking for him.,"['Stephen Stotch', 'Carol McCormick', 'Martha and Stephen Thompson', 'Butters Stotch', 'Token Black', 'Diane Choksondik', 'Linda Stotch', 'Barbara Garthunk', 'Kenny McCormick', 'Dairy Gold Milk Company President', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Ben Affleck', 'Stan Marsh']",5
75,The Entity,"November 21, 2001",511,76,"Kyle's cousin, who is also named Kyle, comes to stay in South Park.;Mr. Garrison, tired of the airlines, decides to invent his own vehicle.","['Mr. Hat', 'Stan Marsh', 'Elaine', 'Herbert Garrison', 'Diane Choksondik', 'Kyle Schwartz', 'Ike Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Jeff Arrando', 'John Travolta', 'Bill Gates', 'Kenny McCormick', 'Airport Security Guard', 'Steve Jobs', 'Jimbo Kern', 'Donald Trump', 'Sheila Broflovski', 'Steve Forbes']",5
76,Here Comes the Neighborhood,"November 28, 2001",512,77,"Token is tired of being teased for being rich, and he brings wealthier families to South Park.","['Will Smith', 'Butters Stotch', 'Craig Tucker', 'Linda Black', 'Jada Pinkett Smith', 'Snoop Dogg', 'Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Steve Black', 'Stuart McCormick', 'Clyde Donovan', 'Aslan the Lion', 'Kenny McCormick', 'Jimbo Kern', 'Token Black', 'Kobe Bryant', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Oprah Winfrey', 'Skeeter', 'Sheila Broflovski', 'Bill Cosby']",5
77,Kenny Dies,"December 5, 2001",513,78,Kenny succumbs to an illness; Cartman acquires stem cells for research.,"['Butters Stotch', 'Principal Victoria', 'Stan Marsh', 'Herbert Garrison', 'Diane Choksondik', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Madonna', 'Laura Jones', 'Ted (Planned Parenthood Doctor)', 'Mr. Mackey', 'Bob Ferrin', 'Kenny McCormick', 'Dr. Larry', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski']",5
78,Butters' Very Own Episode,"December 12, 2001",514,79,Butters goes on a chase to find out what his father bought his mother for their anniversary.,"['Stephen Stotch', 'Mr. Slave', 'John and Patricia Ramsey', 'O.J. Simpson', 'Herbert Garrison', 'Linda Stotch', 'Butters Stotch', 'Kenny McCormick', 'Gary Condit', 'Eric Cartman', 'Old Farmer', 'Some Puerto Rican Guy', 'Officer Barbrady', 'Stan Marsh']",5
79,Jared Has Aides,"March 6, 2002",602,80,"After meeting Jared Fogle, famous for losing weight by eating Subway sandwiches, the boys form a get-rich-quick scheme involving Butters becoming the weight-loss spokesman for City Wok.","['Christine Jonez', 'Scott and Tyler', 'Stephen Stotch', 'Mr. Mackey', 'Butters Stotch', 'Herbert Garrison', 'Jared Fogle', 'Linda Stotch', 'Mayor McDaniels', 'Gerald Broflovski', 'Kenny McCormick', 'Tuong Lu Kim', 'Skeeter', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Stan Marsh']",6
80,Asspen,"March 13, 2002",603,81,The boys and their parents travel to Aspen for a winter vacation. Stan is challenged by teenagers to a ski race while the boys' parents are trapped at a TimeShare meeting.,"['Stephen Stotch', 'Phil and Josh', 'Sheila Broflovski', 'Thumper', 'Butters Stotch', 'Linda Stotch', 'Sharon Marsh', 'Dorky Girl', 'Gerald Broflovski', 'Kenny McCormick', 'Tad Mikowski', 'Randy Marsh', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Old Farmer', 'Stan Marsh']",6
81,Freak Strike,"March 20, 2002",601,82,"The boys convince Butters to appear on ""The Maury Povich Show"" with a fake facial deformity in order to receive the show's prizes.","['Stephen Stotch', 'Butters Stotch', 'Linda Stotch', 'Vanessa', 'Maury Povich', 'Liane Cartman', 'Chantal', 'Vanity', 'Joline', 'Kenny McCormick', 'Damla Jones', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",6
82,Fun with Veal,"March 27, 2002",605,83,The boys are on a mission to rescue a bunch of baby cows from certain slaughter.,"['Butters Stotch', 'Shelly Marsh', 'Linda Stotch', 'Michael Dorn', 'Farmer Carl Denkins', 'Dr. Doctor', 'Glen Dumont', 'Stan Marsh', 'Stephen Stotch', 'Thomas Tucker', 'Diane Choksondik', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Federal Bureau of Investigation', 'Kenny McCormick', 'Baby Cows', 'Officer Barbrady', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski']",6
83,The New Terrance and Phillip Movie Trailer,"April 3, 2002",604,84,"The boys are anxious to see a new movie trailer during a commercial break, and, after Stan's TV is destroyed, frantically run around town in search of a working TV.","['Russell Crowe', 'Shelly Marsh', 'Butters Stotch', 'Jim Lehrer', 'Russell Crowe Editor', 'Gerald Broflovski', 'Kenny McCormick', 'Tugger', 'Bartender', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Stan Marsh']",6
84,Professor Chaos,"April 10, 2002",606,85,"Butters decides to wreak havoc on South Park as a super-villain after being relieved of his duty of being the boys' new fourth friend. Meanwhile, the boys hold auditions to find a replacement friend.","['Stephen Stotch', 'Timmy Burch', 'Clyde Donovan', 'Butters Stotch', 'Token Black', 'Pip Pirrip', 'Diane Choksondik', 'Linda Stotch', 'DogPoo Petuski', 'Kenny McCormick', 'Craig Tucker', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Tweek Tweak', 'Stan Marsh']",6
85,The Simpsons Already Did It,"June 26, 2002",607,86,"Professor Chaos (Butters) proposes numerous evil plans, only to be informed by General Disarray (Dougie) that they have been done before. Cartman builds a miniature society with aquarium creatures.","['Sea People', 'Butters Stotch', 'Herbert Garrison', 'Linda Stotch', 'Liane Cartman', 'Veronica Crabtree', 'Kenny McCormick', 'Bart Simpson', 'Frances Velman', 'Kyle Broflovski', 'Eric Cartman', 'Tweek Tweak', 'Stan Marsh']",6
86,Red Hot Catholic Love,"July 3, 2002",608,87,"Priest Maxi attempts to uncover the Catholic Church's child molestation cases; South Park parents convert their families to atheism. Oh, and people crap out of their mouths.","['Butters Stotch', 'Linda Stotch', 'Betsy Donovan', 'Queen Spider', 'Craig Tucker', 'Stan Marsh', 'Stephen Stotch', 'Carol McCormick', 'Thomas Tucker', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Roger Donovan', 'Gelgameks', 'Pope John Paul II', 'Kenny McCormick', 'David Satcher', 'Sharon Marsh', 'Ms. Gorache', 'Martha Stewart', 'Richard Tweak', 'Tweek Tweak']",6
87,Free Hat,"July 10, 2002",609,88,"Stan, Kyle, Cartman, and Tweek are on a mission to stop Steven Spielberg and George Lucas from editing their classic films, though the boys' supporters are more concerned about freeing a certain criminal from prison.","['Richard Tweak', 'Steven Spielberg', 'George Lucas', 'Hat McCullough', 'Skeeter', 'Kenny McCormick', 'Indiana Jones', 'Kyle Broflovski', 'Eric Cartman', 'Ted Koppel', 'Francis Ford Coppola', 'Tweek Tweak', 'Stan Marsh']",6
88,Bebe's Boobs Destroy Society,"July 17, 2002",610,89,"At exactly the same time Bebe starts developing breasts, the boys of South Park Elementary suddenly begin to notice how cool she is.","['Timmy Burch', 'Kevin Stoley', 'Butters Stotch', 'Red McArthur', 'Tweek Tweak', 'Craig Tucker', 'Francis', 'Stan Marsh', 'Millie Larsen', 'Esther', 'Mrs. Stevens', 'Bradley Biggle', 'Bebe Stevens', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mrs. Testaburger', 'Clyde Donovan', 'Dr. Hallis', 'Mr. Mackey', 'Kenny McCormick', 'Jimbo Kern', 'Token Black', 'Sharon Marsh', 'Liane Cartman', 'Polly Prissypants', 'Two Astronauts', 'Wendy Testaburger']",6
89,Child Abduction is Not Funny,"July 24, 2002",611,90,Numerous news reports about missing children in other cities incite panic among South Park parents.,"['Butters Stotch', 'Linda Stotch', 'Frederick Johnson', 'Betsy Donovan', 'Stan Marsh', 'Stephen Stotch', 'Thomas Tucker', 'Mrs. Tweak', 'Mayor McDaniels', 'Tuong Lu Kim', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Roger Donovan', 'Kenny McCormick', 'Jimbo Kern', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Mr. Mackey Senior', 'Sheila Broflovski', 'Richard Tweak', 'Tweek Tweak']",6
90,A Ladder to Heaven,"November 6, 2002",612,91,"After realizing that Kenny was the one with their candy shopping spree raffle ticket before he died, the boys construct a ladder leading to heaven in an attempt to find out from Kenny the location of the ticket.","['Nobunaga Hiroichi', 'Lolly the Candy Man', 'Stan Marsh', 'Carol McCormick', 'Natsako Semu', 'Herbert Garrison', 'Mayor McDaniels', 'Dick Cheney', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Pedophile Interviewee', 'Kenny McCormick', 'Jimbo Kern', 'God', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Alan Jackson', 'Saddam Hussein', 'George W. Bush', 'Sheila Broflovski']",6
91,The Return of the Fellowship of the Ring to the Two Towers,"November 13, 2002",613,92,"A mix-up lands a ""Lord of the Rings"" video tape with Randy and Sharon Marsh, and a hardcore porno tape with the boys.","['Butters Stotch', 'Linda Stotch', 'Craig Tucker', 'Linda Black', 'Stan Marsh', 'Stephen Stotch', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Steve Black', 'Jimmy Valmer', 'Clyde Donovan', 'Kenny McCormick', '6th Grader Leader', 'Token Black', 'The 6th Graders', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski', 'Tweek Tweak']",6
92,The Death Camp of Tolerance,"November 20, 2002",614,93,"Mr. Garrison, newly promoted to fourth-grade teacher, attempts to use his homosexuality to get fired so he can sue the school for a substantial sum of money. The students' disgust with Garrison's outrageously inappropriate behavior with his new partner Mr. Slave incurs the anger of their parents, who attempt to teach their children to be tolerant of homosexuals.","['Butters Stotch', 'Linda Stotch', 'Sparrow Prince', 'Lemmiwinks', 'Frog King', 'Principal Victoria', 'Museum of Tolerance Guide', 'Stan Marsh', 'Stephen Stotch', 'Mr. Slave', 'Herbert Garrison', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Mackey', 'Catatafish', 'Kenny McCormick', 'Jose Venezuela', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Sheila Broflovski', 'Richard Tweak']",6
93,The Biggest Douche in the Universe,"November 27, 2002",615,94,"After the events in ""A Ladder to Heaven"", in which Cartman drinks Kenny's soul, Cartman becomes sick and travels with the boys and Chef to have Kenny's spirit exorcised. Stan has a run-in with famous TV ""psychic"" John Edward.","['Rob Schneider', 'Liane Cartman', 'Nellie McElroy', 'John Edward', 'Kenny McCormick', 'Dr. Doctor', 'Thomas McElroy', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",6
94,My Future Self n' Me,"December 4, 2002",616,95,"Stan is suspicious when an alcoholic, drug-addicted future version of himself ""travels back"" in time and meets him.","['Butters Stotch', 'Linda Stotch', 'Marvin Marsh', 'Craig Tucker', 'Stan Marsh', 'Stephen Stotch', 'Josh Cashner', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimmy Valmer', 'Clyde Donovan', 'Felipe', 'Carlos', 'Kenny McCormick', 'Future Stan', 'Tom Pusslicker', 'Future Butters', 'Token Black', 'Sharon Marsh', 'Motivation Corp. Director']",6
95,Red Sleigh Down,"December 11, 2002",617,96,"Cartman, concerned about being on Santa's ""naughty list"", takes Stan and Kyle on a mission to bring Christmas to a war-torn Iraq.","['Sheila Broflovski', 'Jesus Christ', 'Herbert Garrison', 'Mr. Hankey', 'Kyle Schwartz', 'Santa Claus', 'Kenny McCormick', 'Mayor McDaniels', 'Gerald Broflovski', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Jimmy Valmer', 'Stan Marsh']",6
96,Cancelled,"March 19, 2003",704,97,The boys learn that Earth is a reality show for aliens and must save it from cancellation.,"['Joozians', 'Najix', 'Visitors', 'Kenny McCormick', 'Jeff Goldblum', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Stan Marsh']",7
97,Krazy Kripples,"March 26, 2003",702,98,Timmy and Jimmy start a club for cripples. Christopher Reeve comes to town to promote stem cell research.,"['Timmy Burch', 'Butters Stotch', 'Larry King', 'Stan Marsh', 'Herbert Garrison', 'Mayor McDaniels', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Ryan Valmer', 'Jimmy Valmer', 'Sarah Valmer', 'Christopher Reeve', 'Mr. McGillicuddy', 'Gene Hackman', 'Kenny McCormick', 'Liane Cartman', 'Gerald Broflovski', 'Saddam Hussein']",7
98,Toilet Paper,"April 2, 2003",703,99,Kyle feels guilty after he and the boys TP their art teacher's house.,"['Josh Myers', 'Clyde Donovan', 'Mr. Mackey', 'Butters Stotch', 'Herbert Garrison', 'Linda Stotch', 'Kenny McCormick', 'Principal Victoria', 'Streibel Daughters', 'Mrs. Streibel', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Streibel', 'Jason Bell', 'Officer Barbrady', 'Stan Marsh']",7
99,I'm a Little Bit Country,"April 9, 2003",701,100,The boys enter an anti-war demonstration; Cartman travels back in time to the American Revolutionary War era.,"['Benjamin Franklin', 'Butters Stotch', 'Dr. Doctor', 'Stan Marsh', 'Mr. Slave', 'Herbert Garrison', 'Mayor McDaniels', 'John Hancock', 'Official Messenger Boy', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Chris Swollenballs', 'Mr. Mackey', 'John Dickinson', 'Kenny McCormick', 'Jimbo Kern', 'John Adams', 'Sharon Marsh', 'Liane Cartman', 'Gerald Broflovski', 'Skeeter', 'Thomas Jefferson']",7
100,Fat Butt and Pancake Head,"April 16, 2003",705,101,"Cartman's hand puppet Jennifer Lopez gets major publicity, which angers the real Jennifer Lopez.","['Mr. Slave', 'Mitch Conner', 'Mr. Mackey', 'Butters Stotch', 'Herbert Garrison', 'Jennifer Lopez', 'Liane Cartman', 'Kenny McCormick', 'Principal Victoria', 'Bebe Stevens', 'Dr. Doctor', 'Kyle Broflovski', 'Eric Cartman', 'Ben Affleck', 'Stan Marsh']",7
101,Lil' Crime Stoppers,"April 23, 2003",706,102,The boys pretend to be police detectives.,"['Butters Stotch', 'Blaze', 'Mrs. Farnickle', 'Agent Tucker', 'Bill Allen', 'Stan Marsh', 'Stephen Stotch', 'Agent Fields', 'Herbert Garrison', 'Lieutenant Dawson', 'Hopkins', 'Kyle Broflovski', 'Eric Cartman', 'Kenny McCormick', 'Sarah Peterson', 'Liane Cartman', 'Gino', 'Mr. Farnickle', 'Meth Heads', 'Fosse McDonald', 'DJ Hippo']",7
